Alpha Code,Numeric Code,Description
&minus;,&#8722;,SYM_MINUS
&times;,&#215;,SYM_TIMES
&divide;,&#247;,SYM_DIVIDE
&sum;,&#8721;,SYM_SUM'
&sdot;,&#8901;,SYM_DOT
&and;,&#8743;,SYM_AND
&or;,&#8744;,SYM_OR     
&not;,&#172;,SYM_NOT
&lowast;,&#8727;,SYM_LOWAST
&radic;,&#8730;,SYM_RADIC
&forall;,&#8704;,SYM_FORALL
&part;,&#8706;,SYM_PART'
&exist;,&#8707;,SYM_EXIST
&empty;,&#8709;,SYM_EMPTY
&nabla;,&#8711;,SYM_NABLA
&isin;,&#8712;,SYM_ISIN
&notin;,&#8713;,SYM_NOTIN
&ni;,&#8715;,SYM_NI
&prod;,&#8719;,SYM_PROD
&plusmn;,&#177;,SYM_PLUSMN
&prop;,&#8733;,SYM_PROP
&infin;,&#8734;,SYM_INFIN
&ang;,&#8736;,SYM_ANG
&cap;,&#8745;,SYM_CAP
&cup;,&#8746;,SYM_CUP
&int;,&#8747;,SYM_INT
&there4;,&#8756;,SYM_THERE4
&tilde;,&#732;,SYM_TILDE
&sim;,&#8764;,SYM_SIM
&cong;,&#8773;,SYM_CONG
&asymp;,&#8776;,SYM_ASYMP
&ne;,&#8800;,SYM_NE
&equiv;,&#8801;,SYM_EQUIV
&le;,&#8804;,SYM_LE
&ge;,&#8805;,SYM_GE
&sub;,&#8834;,SYM_SUB
&sup;,&#8835;,SYM_SUP
&nsub;,&#8836;,SYM_NSUB
&sube;,&#8838;,SYM_SUBE
&supe;,&#8839;,SYM_SUPE
&oplus;,&#8853;,SYM_OPLUS
&otimes;,&#8855;,SYM_OTIMES
&perp;,&#8869;,SYM_PERP
&sup1;,&#185;,SYM_SUP1
&sup2;,&#178;,SYM_SUP2
&sup3;,&#179;,SYM_SUP3
&frac14;,&#188;,SYM_FRAC14
&frac12;,&#189;,SYM_FRAC12
&frac34;,&#190;,SYM_FRAC34
&ordm;,&#186;,SYM_ORDM
&ordf;,&#170;,SYM_ORDF
&lceil;,&#8968;,SYM_LCEIL
&rceil;,&#8969;,SYM_RCEIL
&lfloor;,&#8970;,SYM_LFLOOR
&rfloor;,&#8971;,SYM_RFLOOR
